Title,Text
Iraqi refugee camp closed,"One of the largest camps to host Iraqi refugees in Iran closed over the weekend, the office of the United Nations High Commissioner for Refugees (UNHCR) confirmed. ""It went very smoothly,"" UNHCR spokeswoman in the Iranian capital, Tehran, Marie-Helene Verney, told IRIN on Monday. The remaining 205 refugees in the Ashrafi camp, located 150 km north of Ahvaz, the capital of the southwestern Kuzestan province, were transported back to their homeland via the Shalamshea border crossing on Saturday. ""The convoy was escorted by CPA troops,"" she explained. The camp was home to some 12,000 Iraqis, many of whom had lived there for more than a decade following the first Gulf war in 1991. There were some 200,000 Iraqi refugees living in Iran last year, of which approximately 50,000 have returned home, according to rough estimates. Although UNHCR is assisting refugees to return, Verney stressed that this was not a repatriation programme in the normal sense. ""This is not a full repatriation programme as conditions are not right for refugees to return. However, so many were desperate to return by themselves and were in need of assistance over a heavily mined border that we decided to help them,"" she added. Under the UNHCR programme, which started in November, refugees are give US $20 and free transportation to the southern Iraqi city of Basra. UNHCR has a very limited presence inside Iraq due to the security situation there, making it very difficult for a repatriation programme, such as the one in Afghanistan, to operate. So far the refugee agency has helped more than 2,000 Iraqi's in Iran to return home. ""Many have gone back on their own, through a heavily mined area which concerns us,"" she added. Meanwhile, returns of Iraqi refugees from other parts of the country are continuing, with some two convoys per week heading for the border with Iran."
Refugee protest turns ugly,"A refugee camp in southwestern Ghana was under tight security on Wednesday a day after police fired teargas and warning shots to quell rioting that left buildings and vehicles burned and some refugees on the run from the law. Over the course of the last week, close to 800 of Krisan refugee camp’s 1,700 residents had set out on foot for the nearby Ivorian border to protest their living conditions and to push for the right to settle in a third country other than Ghana and their homeland. On Tuesday, Ghanaian officials bussed the refugees back to the camp near the coastal town of Axim but, upon their return, violence broke out. “We had to run for our dear lives,” said Padmore Nyankopa-Arthur, the regional representative for the ministry of interior. “Even the police had to tactically retreat before we called for reinforcements.” “But by that time, the mayhem had already been caused and the leaders had absconded.” Some refugees disagree with Nyankopa-Arthur’s account of a professional police overwhelmed by the irrational behaviour of a mob incited to violence by a small number of rabble-rousers. Instead, they speak of brutal security forces beating people and dragging them before forcing them back to the camp they had fled. However, both sides agree on the end result: a badly damaged camp and an unknown number of refugees on the run. “I’m wanted by security forces,” Kennedy Vanyan told IRIN by telephone from his hiding place. “If I’m caught right now, I’m a dead body,” said Vanyan, who estimated that 400 refugees were too scared to return to the camp. West Africa is home to about 1.3 million displaced people, according to the UN Office for the Coordination of Humanitarian Affairs (OCHA). Of the more than 60,000 refugees in Ghana, some of whom have lived in camps for over a decade, the vast majority are Liberian and Togolese. “If we could leave Ghana, we’d be very happy,” said Vanyan who fled the civil war in his native Liberia in 1992 and came to Ghana from Cote d’Ivoire 10 years later when fighting started up there. There is a perception within Krisan camp that refugees from certain countries, namely Sudan and Sierra Leone, are more likely to benefit from a resettlement programme to a third country. According to the UN refugee agency (UNHCR), which works with Ghana’s government to provide refugees with food, shelter and education, resettlement to countries like the United States and Australia is one of three durable solutions for displaced people. But it is far less common than repatriation to the country of origin or integration into the host society, as only one percent of refugees ultimately find a home in a third country that offers asylum. “Resettlement is not something you claim,” said Needa Jehu-Hoyah, public information officer for UNHCR in Ghana’s capital Accra. “You cannot just walk into a place and say resettle me.” Furthermore, the UNHCR said that, although financial constraints make it very difficult to provide adequately for large refugee populations, Krisan camp is one of the few in West Africa to meet established international standards. Refugees have been living at Krisan since 1996, and officially UNHCR consider the site a settlement with semi-permanent structures, shops and businesses much like any large village. However, the relatively high standards at Krisan provide little consolation for many of the camp’s refugees. “People are discouraged, they are fed up,” Franskkgav Freejust, one of the camp’s leaders told IRIN from his hide-out “somewhere in the bush”, adding that refugees want to move on from years of uncertainty. “People are fighting for the future.”"
Refugees tell of horror in Andijan,"Teshik-Tash is an isolated hill district 25 km west of the capital of the southern Kyrgyz province of Jalal-Abad, situated on the banks of the Kara-Darya river. The community, lying close to the Kyrgyz border with Uzbekistan, is now home to around 500 Uzbeks who fled the violence in eastern Uzbekistan over the past four days. The bedraggled group, some wounded and others sick, sit munching flat, Central Asian bread, while sheltering in hastily-erected tents designed to accommodate much smaller numbers. “There is not enough space for all of us but we are not complaining. We are thankful for this. At least, the local Kyrgyz authorities gave us shelter and refuge,” Zuhra, a young women, told IRIN. “A lack of basic amenities here is better than persecution at home.” The bloodshed in eastern Uzbekistan started early on Friday when between 60 and 100 armed men stormed the local prison to free 23 inmates accused of belonging to an illegal group related to the Hizbut Tahrir Islamic movement. They also released some 2,000 other prisoners. Thousands of people in the city, located in the impoverished and densely populated Ferghana valley, had been demonstrating against the trial of the 23 freed men. They claimed all the charges against the group had been trumped up by the government. After the prison breakout, the gunmen seized public buildings, while a crowd of about 5,000 supporters demonstrated outside against the government. Security forces opened fire on the crowd, killing hundreds, witnesses said. In her home city of Andijan, Zuhra was a housewife. She went to the demonstration on Friday with her husband and four children. When police and soldiers began shooting at the group, killing hundreds according to human rights groups, Zuhra and her family fled, along with hundreds of other people. Many of the refugees began crying when recalling what they had experienced on Friday night, when up to a thousand frightened people rushed to the border to escape the slaughter in Andijan. “We heard on the radio and TV that President [Islam] Karimov had come to Andijan and we gathered on the main square to tell him about all our problems but the president did not talk to us. We got bullets instead,” Shahodit Miftahiddinova, an elderly woman, told IRIN, shivering as she recalled the bloody events of four days ago. Kyrgyz soldiers guard the improvised camp for the “asylum seekers” as local migration service officials refer to them. There is a long queue of people waiting to get water from a truck bringing in fresh supplies from Jalal-Abad. The office of the United Nations High Commissioner for Refugees (UNHCR) has been assisting those who fled the disturbances. ""UNHCR has provided 540 refugees blankets, soaps, canisters for potable water, hygiene sets, clothes, utensils. Today, we will start the provision of food to the refugees,” UNHCR programme officer, Almaz Burkutov, told IRIN. Three of the tents at the makeshift refugee camp have been given over to women. Girls sit across the laps of mothers and elderly female relatives. “When the shooting started the crowd was terrified and everyone fled, stepping on each other. We followed those people who wanted to get to Kyrgyzstan,” one of the women said. A neighbour in the next tent said they had walked all night to the border, leaving those too badly injured or exhausted to their fate in villages on the way. “Only God knows what will happen to them, the soldiers will get them,” the woman added. Shahodit Miftahiddinova, an elderly woman running a food stall near Andijan’s central square, was caught up in the violence and also fled when her friends were gunned down by security forces. “In the morning we reached the border but our [Uzbek]soldiers started shooting us. They fired on innocent people and injured some of us, we will never forgive them for that,” she said. Bilaldin, 14, went to the demonstration on Friday with his mother, grandfather and brother. He told IRIN that the only thing he wanted was that the authorities release his father from prison. Bilaldin said he was convicted by an Uzbek court for allegedly being a member of the radical Islamic religious group, Hizbut Tahrir. “I do not want to go back home – there they will shoot us again,” he whispered, wiping tears from his dusty face. According to local officials, there are now 541 people in the camp, some elderly. There is a total of 90 women and 15 children. Seven Uzbek refugees were wounded but managed to escape in spite of their injuries and they are being cared for by doctors at the nearby Suzak district hospital. Many of the refugees are relatives and friends of those convicted and jailed by Uzbek authorities for alleged links with illegal Islamic groups. Tavakkil Hojaev, the 28-year-old informal leader of the “asylum seekers”, told IRIN that the majority of the group on trial in Andijan were either businessmen who had been targeted by Tashkent, or their employees or family members. “Sure it was the businessmen who initiated recent popular protests in Andijan. They led people who were dissatisfied with Karimov’s regime. Some were traders, some were people who had been persecuted for their religious beliefs but the majority were simply people who have been forced into dire poverty by Karimov,” Hojaev said. Local people living close to the new camp said they were concerned for their safety as they had heard some of the refugees might be among the 2000 convicts who had been freed on Thursday night in Andijan by the armed assault on the prison. “The very first day there were reports that 13 people in group had been imprisoned and were serving their terms but we do not know what they had been convicted of,” Nazarov, deputy head of the Suzak district of the Jalal-Abad province, told IRIN. “But for us, they are all people suffering a lot and in need of help,” he added. On Monday, officials from several international organisations were on the ground, promising assistance. Others wer standing by. ""Basic needs are being covered by the local authorities and the United Nations. We are monitoring the situation and are ready to provide humanitarian aid if necessary"", Marko Yaminki, deputy of the International Red Crescent Committee in Kyrgyzstan, told IRIN from the capital, Bishkek. Salima Ismailova, regional head of the Kyrgyz migration department, told IRIN that local authorities were assisting the new arrivals and that local people had spontaneously offered food and medicine. “These people are not strangers. This region is very mixed ethnically,” the migration official observed. Uzbekistan's chief prosecutor said on Tuesday 169 people died in clashes between protesters and troops in Andijan. The figure was much higher than previous government estimates but still below eyewitness estimates that hundreds of people died. Foreign diplomats and media were due to see for themselves the situation in Andijan – on a trip organised by the government. But the excursion was postponed to Wednesday, to give authorities time to remove evidence of the extent of the killings in the city, Uzbek and international human rights groups have said."
Repatriation of refugees nears completion,"The repatriation of Angolan refugees from camps and settlements in the region is drawing to a close, the UN refugee agency (UNHCR) has said. ""By the end of October, virtually all refugees should have returned and UNHCR convoys and airlifts will stop,"" the agency said in a statement. More than 300,000 Angolans have returned home since 2002, either on UNHCR convoys and airlifts or on their own steam. The agency noted that on arrival in Angola, the returnees receive a UNHCR reintegration package with basic non-food items such as building materials and agricultural tools as well as one months' food rations from the World Food Programme. ""We plan to repatriate another 53,000 Angolans during the next seven months. After that, the three-year period of assisted repatriation will be concluded. As of 2006, UNHCR will not provide transport but we will still offer repatriation packages for those who return spontaneously,"" Annette Nyekan, UNHCR's acting representative in Angola, was quoted as saying. As in all major repatriation operations, a residual group might decide not to return home for various reasons, UNHCR said. ""These individuals are usually locally settled and well integrated in their countries of asylum,"" noted Nyekan. A group of 3,000 refugees in the Republic of Congo have not yet decided to repatriate. Most of them originate from the Angolan enclave of Cabinda, where sporadic clashes between the Angolan army and separatist groups continue. BEYOND 2005 Once its repatriation programme has ended, UNHCR will shift focus ""from bringing people back home to making their return sustainable"", according to Jose Samaniego, head of the agency's Angolan unit. He referred to the agency's four R strategy: Repatriation, Reintegration, Rehabilitation and Reconstruction. ""The first R is nearly done, now we are concentrating on the other three,"" Samaniego said. The majority of the refugees are returning to isolated and remote areas in Moxico, Cuando Cubango, Zaire and Uige, which were the four provinces worst affected by the three decades long war. Returning refugees often find themselves in a difficult situation. Large parts of the country are littered with landmines. The infrastructure has been destroyed by the war, basic services are lacking and job opportunities are scarce. UNHCR's policy for 2006 will help to bridge the ""relief to development"" gap which regularly occurs in post-conflict situations as relief funds dry up but development aid is not yet forthcoming. The agency said its operational budget reflected this change in the focus of its activities. ""This year, US $10 million is being divided evenly between repatriation activities and general reintegration, whereas in 2006 the bulk of the budget will be allocated for reintegration projects,"" the agency said. ""We need to assist the population of those areas which are most affected by refugee returns,"" added Samaniego. A UNHCR technical expert has been working with the Angolan government and liaising with other UN agencies and donors to develop a reintegration framework for key areas of return. ""Planning is done in a three-step process: Once the needs are identified by the ministries and UNHCR, projects are developed locally. The local administration and the sobas (traditional leaders) of the area are involved to make sure that the plans really meet the needs of the population. Only then are the donors asked for funding,"" UNHCR said. UNHCR-supported projects cover a wide range of areas, including water and sanitation, health, education, income generation and road repairs. While the agency has been concentrating its efforts more and more on the post-return phase, ""the repatriation clock is counting down"". However, UNHCR pointed out that the current outbreak of acute hemorrhagic fever in Uige province in northern Angola threatens the start of returns to Sakamdica and possibly Lunda Norte. The highly contagious disease, called Marburg virus, has reportedly claimed 96 lives so far, and for the time being, the UN has suspended all non-essential travel to Uige province. Meanwhile, convoys and airlifts from neighbouring countries to other Angolan provinces will continue once the rainy season ends in April/May."
Refugee returns to south continue,"Another 500 Iraqis were assisted in returning from Iran on Monday as part of a continuous flow of returnees from the Islamic Republic this year. ""With this group of returnees from Iran, the total number of Iraqi returnees either from Rafah camp in Saudi Arabia or from Iran so far in 2004 is around 5,900 people, of which the majority are from Iran,"" Josef Pfattner, aid worker from Intersos, an Italian NGO funded by the Office of the United Nations High Commissioner for Refugees (UNHCR), told IRIN in Basra. ""This is of course in addition to thousands of spontaneous (unassisted) returnees who come on their own,"" he added. According to UNHCR, an estimated 120,000 people have returned to southern Iraq spontaneously - mainly from Iran. Since last July the refugee agency has helped the repatriation of some 10,000 Iraqis from Iran, Saudi Arabia and Lebanon. Earlier, Iran hosted the largest number of Iraqi refugees in the world at around 202,000, most of whom fled during the late 1970s and 1980s, escaping war and persecution, with many also arriving following the 1991 Gulf war. While UNHCR is not promoting returns, officials at the agency say they would rather facilitate returns then allow refugees, desperate to return, to cross dangerously mined areas themselves. The returnees arrive home fairly late in the day due to bureaucratic procedures at the borders and often look exhausted from the 14-hour-drive from the nearest border city in Iran, which is 40 km away from Basra. Abbas al-Saghair, who had been in Iran since 1993 and had married an Iranian woman, said that he would have preferred to stay in Iran but he was forced to come back like the rest of his family for economic reasons. ""I can't stay away from the rest of my big family especially now that the situation in Iran is not that stable either, there is not enough work unless you have a special skill or are well-educated,"" he told IRIN. Soad Haider, a woman from the neighbouring Iraqi district of Amara in Missan governorate, who left for Iran with her husband and two children in 1991, said they too had no regular income in Iran. ""I was so worried to come back home in this unstable security situation, but we had no other alternative. My husband came a few weeks ago on his own to check on the situation and he told me we would be safe,"" she told IRIN. ""Most of the returnees endure very difficult social, economic and health conditions,"" Dr Ali al-Jabri, with Intersos told IRIN. ""Many of them suffer from those illnesses linked to stress and hard economic conditions like headaches, high blood pressure, diabetes, and many of their children suffer from anaemia and tonsillitis,"" he added. The Intersos programme includes the distribution of non-food items and making links between vulnerable returnees, such as the disabled and elderly, with national and international NGOs in the south, as well as local authorities such as the Ministry of Labour and Social Affairs. ""We were first helping the most vulnerable returnees till we found many Iraqis in the south who were even more vulnerable, so we expanded the programme to help vulnerable Iraqis in general,"" Pfattner explained. On Friday, UNHCR issued a statement saying that more than 30,000 extremely vulnerable returnees in the Thi-Qar governorate of Basra had received assistance in the form of blankets, plastic sheeting, cooking stoves and kitchen sets. The refugee agency also expressed concern over the recent escalation in violence inside Iraq with regard to returns. ""The violence in Falluja this week once again demonstrates the overall volatility of the situation, as well as the dangers faced by people inside the country, nationals and foreigners alike,"" said UNHCR spokesman, Ron Redmond at a press briefing in Geneva. On Monday, US troops launched an offensive against Iraqi insurgents protesting in the Sunni town of Falluja, some 50 km west of Baghdad. Four Americans were killed and their bodies mutilated by a mob in the town on 25 March. At least nine coalition soldiers and 46 Iraqis have been killed in confrontations related to the protests, while continuing tension in Sadr City, a district of Baghdad, saw eight US troops and a reported 22 Iraqis killed in fighting on Sunday, the international media reported."
Congolese granted asylum,"The Rwandan government granted asylum on Friday to 283 people of Rwandan decent whom officials in Kigali have classified as refugees from the Democratic Republic of Congo. ""At the moment we are looking after them in a refugee camp, Protais Mitali, the Rwandan minister for regional cooperation,"" said. The group - 172 children, 62 women and 49 men - were expelled from the neighbouring Democratic Republic of Congo earlier in the week. Local military and civilian officials in the Congo had accused them of being Rwandans. Mitali said the international community must step in and stop what he described as the ongoing persecution of ""Rwandafones"" (Congolese speakers of the Rwandan Kinyarwanda language) in parts of Congo’s North and South Kivu provinces. ""We have alerted the United Nations and ambassadors from the permanent five to look into the matter,"" he said, referring to the permanent members of the UN Security Council. Congolese authorities had rounded up the refugees from their homes in the town of Kalehe in South Kivu, according to the Rwandan government. The refugees had been detained for two weeks in a military camp in Bunyakiri then transported in trucks to Rwanda by the UN refugee agency, UNHCR. An official of the UNHCR confirmed that all 283 people are second-generation Congolese nationals of Rwandan origin. Their parents migrated to Congo before independence to work as farmers or miners, a UNHCR official in Bukavu told IRIN on Tuesday. The official said many were going to Rwanda for the first time. Ethnic tensions have risen sharply in Congo, with a wave of hostility directed at Congolese Tutsis of Rwandan origin, also known as Banyamulenge. Many fled into neighbouring Burundi and Rwanda in early June when fighting intensified between dissident and loyal government forces, and when the dissident soldiers loyal to Gen Laurent Nkunda and Col Jules Mutebutsi seized control of Bukavu, the capital of South Kivu."
Big Afghan refugee camp to close,"Pakistani authorities are soon to close the large, well-established Jalozai Afghan refugee camp, home to 120,000 people and located in the Nowshera district of Pakistan's North West Frontier Province (NWFP), some 140 km northwest of the Pakistani capital, Islamabad. ""On account of security concerns the camp has only been identified for closure. However, the formal closure will be announced only after consultation with the government of Afghanistan and the UN refugee agency [the office of the United Nations High Commissioner for Refugees (UNHCR)],"" Dr Imran Zeb, director of the Commissionerate for Afghan Refugees (CAR), a state body dealing with Afghan refugees, said in Islamabad on Thursday. Of about 200 refugee facilities meant for Afghans fleeing the Soviet invasion of 1979 and, later, internal strife inside Afghanistan, Pakistan now has only around 70 camps housing over 1 million refugees, mainly administered by UNHCR. Including Jalozai, there are currently four Afghan refugee camps facing closure for what Islamabad refers to as “security concerns”. Two of the camps are located in the southwestern province of Balochistan, home to 63,000 Afghans. The third is in NWFP, located in the provincial capital of Peshawar and housing 50,000 refugees. Since 2003, the closure of Afghan refugee camps in Pakistan has been proceeding alongside the repatriation operation that began in March 2002. Under the voluntary repatriation assistance programme of the UNHCR started in 2002, over 2.7 million Afghans have returned so far from Pakistan. Nearly 1.6 million repatriated in 2002, followed by some 340,000 in 2003 and more than 380,000 in 2004. This programme is governed by a tripartite agreement between Kabul, Islamabad and UNHCR that runs until December 2006. According to a comprehensive census of Afghans living in Pakistan carried out in March 2005, over 3 million Afghan nationals have been living in different parts of the country for over a quarter of a century. Many do not want to return to Afghanistan, citing insecurity, lack of jobs and infrastructure for their reluctance to leave their adopted country."
Minister promises better protection for refugees,"The South African government has promised to amend policies and practices to better protect the rights of refugees. Addressing the International Conference for Women and Family Restructuring in Cape Town this week, Minister of Home Affairs Nosiviwe Mapisa-Nqakula acknowledged that there were limitations in current immigration policies and procedures. In a bid to end the ill treatment of more vulnerable refugees, such as women and girls, she promised to review them. Her comments were welcomed by human rights lawyer and spokesman for the Zimbabweans in Exile Forum, Gabriel Shumba. ""It has always been obvious that women refugees, in particular those with children, suffer the cruellest kind of treatment,"" Shumba told IRIN. In her presentation to the conference, Mapisa-Nqakula said, ""whilst, generally, there are problems that affect any immigrant who goes through our systems, certain categories of foreigners have had it worse than others, including women, children, asylum seekers and undocumented immigrants"". ""Not only do women constitute a large number of these refugees, but they are also the ones that experience the harshest treatment of abuse and humiliation, at times from officials whose duty it is to protect them. Most of the times, women are forced to flee their homes with children on their backs, without food, and very little guarantee of shelter and safety when they arrive at their supposed destinations,"" added Mapisa-Nqakula. The minister said she had ""always found it disturbing"" that policies were not sensitive to this. ""Women's issues are not isolated and given special attention in regulating the treatment and protection of refugees globally,"" she noted. Mapisa-Nqakula said it was important that governments that were signatories to United Nations and Organisation of African Unity conventions on refugees ""should concern themselves with issues such as counselling, safety, reproductive health issues and skills development for women"". The South African government had recently been criticised for its handling of asylum seekers and illegal immigrants. Earlier this month about a 100 immigrants from Zimbabwe, Mozambique, Malawi, Zambia and Angola demonstrated at the Lindela Repatriation Centre outside Johannesburg. Joyce Dube, a director of the Southern African Women's Institute for Migration Affairs, a rights NGO, told IRIN at the time that ""South African authorities do not check whether the immigrants, particularly the Zimbabweans, are genuine asylum seekers - they merely arrest them and deport them"". There have been allegations of ill-treatment at the centre and complaints that immigrants did not have adequate access to sanitation. Mapisa-Nqakula said she had recently toured the Lindela Repatriation Centre. ""We did find that there are many women who get arrested and taken to the centre for deportation and, while they are kept isolated from the rest of the group, they were not prioritised for transfer to make sure that those who were pregnant, sick or with young children should not stay longer at the centre,"" she said. The national immigration branch was working on a policy ""that will guide the [home affairs] department in dealing with these specific cases"", Mapisa-Nqakula said. ""In the meantime we have directed that, where it is possible, these women should be given priority during such transfers,"" she added. Shumba said it was clear that current immigration practices were inadequate, ""especially given the treatment of refugees in Lindela"". ""When helping women secure asylum or responding to their humanitarian needs ... we reflect that there's a great need to treat women with sensitivity: they need special sanitation and hygienic considerations, for example,"" Shumba said. He added that refugees already enjoyed protection under domestic and international law. ""What must change is the attitude of the home affairs officials, and other officials that deal with refugees, rather than the laws themselves. We have adequate protection under the law ... what we need to see is a change of attitude, especially the xenophobic attitude exhibited towards refugees."""
UN refugee agency moves first group of CAR refugees to camp,"Trucks crawled along muddy roads on Wednesday, carrying the first group of thousands of Central African refugees from makeshift shelters inside Chad to a camp where they can regularly receive food and other assistance. Almost 100 refugees made the trek from the rural town of Betel to a camp in Gore, Mbaioren Djerassen of the UN refugee agency (UNHCR) told IRIN by telephone. ""The roads are already very difficult to pass,"" Djerassen said, speaking from the Chadian capital, N'djamena. It took the UNHCR convoy about four hours to travel the 60 km to the Amboko camp in Gore. According to UNHCR estimates, about 10,000 CAR refugees are scattered across 17 villages inside Chad, having fled fighting between government forces and unidentified armed groups in early June. That is in addition to about 30,000 other refugees who have been living in camps in southern Chad since fleeing conflict in Central African Republic nearly three years ago. The June arrivals have had no access to safe drinking water or proper sanitation. Many have been living on wild fruits and roots. UNHCR has been in discussions with the Chadian government for weeks to ensure the refugees safe passage to a location where they can receive regular assistance. Last week the government gave the refugee agency the green light to move the refugees to Amboko, which is already home to 13,000 refugees. It has the capacity to house about 27,000 people. The government normally cuts truck access to most of the country’s roads throughout the rainy season to avoid further degradation, but UNHCR official Marie-Christiane Boccoum said the agency had received special permission for the convoy from the government. UNHCR started the relocations with the village of Betel, primarily because it has the largest population of refugees among the Chadian villages affected, Boccoum said. Betel, which has a local population of about 600, is now housing nearly 3,000 refugees. The 97 refugees that were moved on Wednesday have been registered and have begun receiving food rations and supplies, Djerassen said. UNHCR is working with the government and its NGO partners to restore the airstrip in Gore to allow for UN passenger planes to transport staff and supplies to the area, he added. It is impossible to know when all the refugees will be settled into Amboko camp, Djerassen explained, because it is difficult to factor in how much the rains will damage the roads. ""We cannot estimate how many days this will take,"" he said."
UN sanctions chief urges action,"The chairman of the UN Security Council sanctions committee for Cote d’Ivoire wrapped up a four-day visit on Friday by urging the warring parties to resolve the “serious problems” that have blocked the implementation of a succession of peace deals. The comments of Greek Ambassador Adamantios Vassilakis came as the UN Security Council in New York called on all sides to ""immediately comply"" with three peace deals signed since the country was divided by war in September 2002. “We hope that all parties will do their best to find a solution [but] there are problems and these problems are serious,” said Vassilakis, adding that he has urged the warring factions to act in good faith. “I am optimistic but at the same time I am aware that there are problems […] if there is goodwill and good faith you can easily overcome [the crisis], but if not, there is a problem. I insist that good faith is absolutely necessary,” he said. Rebels, known as the New Forces, staged a failed coup in September 2002 taking hold of the north half of Cote d’Ivoire. Repeated peace deals have paved the way for the disarmament of rebel and government militia forces but implimentation has been a recurring problem and this once a beacon of stability and economic prosperity remains divided by war. Vassilakis declined to say whether sanctions would be meted out against Ivorian leaders anytime soon, but warned instead that human rights violations were a “very serious problem” and had to be curtailed. The UN, earlier this month, reported that human rights abuses were on the rise on both sides of the confidence zone – the strip of land monitored by French and UN peacekeeping soldiers that keeps the warring government and rebel forces apart. Last November, the UN Security Council approved individual sanctions such as travel bans or asset freezes against anyone seen as blocking the peace process, violating human rights or inciting hatred, but so far no sanctions have been imposed to enable mediators to try to solve the three-year-old crisis. Diplomats told IRIN that sanctions would only be used as a last resort in combating the intransigence of some of the key players. Vassilakis hinted that a lack of goodwill on both sides had delayed the implementation of the 2003 French-brokered Marcoussis peace plan. “Peace is possible – it suffices that everybody takes the necessary steps,” Vassilakis said. During his visit Vassilakis met with President Laurent Gbagbo, leader of the New Forces rebels Guillaume Soro, Prime Minister Seydou Diarra and former president Henri Konan Bedie. While Vassilakis was talking in the economic capital Abidjan, the UN Security Council ended a week of discussions on Cote d’Ivoire by demanding action on a string of peace deals in France, Ghana and most recently, South Africa. The Security Council has supported African Union proposals to allow Gbagbo to remain in power for up to 12 months beyond the end of his mandate, which expires when presidential elections should have been held on the 30 October. The AU, backed by the UN, has asked Gbagbo to appoint a new prime minister who would be mutually agreeable to all the warring parties to lead the country to reorganised polls. AU Chairman, President Olusegun Obasanjo of Nigeria and South African President Thabo Mbeki – who has lead mediations in Cote d’Ivoire – are expected in the country within the week to jointly chair a meeting of Ivorian government, rebel and opposition leaders in the capital Yamoussoukro. The two heads of state are expected to thrash out a consensus so that a new prime minister can be named before the 30 October deadline."
UN extends sanctions to diamonds,"The UN Security Council has unanimously approved a new resolution to ban imports of rough diamonds from war-torn Cote d’Ivoire and renew an existing arms embargo. Individual sanctions, repeatedly threatened by the UN, have not yet been implemented. Instead, the 15-member body reiterated its willingness to impose travel bans and asset freezes on individuals deemed to have impeded the peace process, committed human rights violations, publicly incited hatred and violence, or violated the arms embargo. The Security Council on Thursday “renewed for another year the arms embargo and the travel and financial restrictions imposed on the country on 15 November 2004 and decided to ban imports of rough diamonds from the country,” read the resolution. Cote d’Ivoire is bogged down by a three-year old conflict that sliced the country in two when rebels seized the north in a failed coup in September 2002 and the government retained the south after the intervention of troops from former colonial power France. The new ban on Ivorian diamonds follows a report by a UN team of experts who travelled to Cote d’Ivoire to assess whether the warring parties had adhered to the November 2004 arms embargo. The experts reported to the Security Council at the end of last month that rebels were selling rough diamonds to fund military spending. The team also reported that cocoa earnings were being used to fund military spending in government territories. “Cocoa plays an important role in providing funds for the off-budget and extrabudgetary military procurement efforts of the Government,” the report stated. Cote d’Ivoire is the world’s largest cocoa producing nation, producing some 40 percent of the world crop. Cocoa was the driving force of the Ivorian economy in the boom years that followed independence in 1960. But recent conflict has shattered the Cote d’Ivoire’s image as a haven of stability and three years of international negotiations and mediations have failed to resolve the standoff between the rebel and loyalist camps. Newly appointed Prime Minister Charles Konan Banny, who was levered into position just over a week ago after weeks of pan-African pressure to shepherd the country to peace, is still to name his cabinet. The new prime minister takes over a deadlocked peace process and will have to organise a long delayed programme of disarmament, resolve the sensitive issue of who is entitled to citizenship, and organise presidential elections -- all before an October 2006 deadline. An attempt to hold elections last 30 October failed due to a deadlock in talks between the factions on all these issues, forcing the UN to extend President Laurent Gbagbo’s mandate for 12 months by special resolution."
Sanctions imposed but political stalemate strong as ever,"The United Nations may have slapped an embargo on Cote d'Ivoire, but with both government and rebels digging in their heels over key issues that have deadlocked the political process for months, analysts and diplomats doubt the sanctions will prompt a fast return to the negotiating table. President Laurent Gbagbo is adamant the rebels must disarm to break the political stalemate in Cote d’Ivoire. The New Forces rebels and other opposition leaders maintain that Gbagbo must go before peace talks can take place. And both sides are trying to use this week's UN sanctions as ammunition for their arguments. The UN Security Council voted unanimously on Monday to impose a 13-month weapons ban on the divided West African nation and warned that certain individuals would be blocked from travelling abroad and their overseas accounts frozen next month if steps were not taken to get the shattered peace process back on track. Having broken a shaky 18-month ceasefire earlier this month by bombing rebel strongholds, Gbagbo said on Tuesday he was committed to reunifying his country, which has been split into a government-run south and a rebel-held north for more than two years after a failed coup attempt against him. ""The President takes note of the resolution and assures the United Nations, member states and friends of Cote d'Ivoire that he will do nothing to hinder the peace process,"" Gbagbo's spokesman said in a statement read on state television on Tuesday. ""He invites the UN to apply this resolution with the same rigour to the rebels and to immediately begin the disarmament process included in the Marcoussis peace deal."" The UN Mission in Cote d'Ivoire (ONUCI), which has some 6,000 peacekeepers on the ground, has repeatedly said that its mission is not to disarm the rebels, but to support the transitional government in moving the country to peace and elections planned for October 2005. But some diplomats suggested a change of approach was needed. ""We should now work on an hypothesis along the lines of Sierra Leone, where ONUCI will be charged with carrying out disarmament, by force if necessary,"" one Western diplomat in Abidjan told IRIN, noting that the ONUCI number two was Alan Doss, the man who managed the disarmament process in Sierra Leone after a decade-long civil war there. The rebels had been due to hand over their weapons a month ago but they flatly refused, saying the government had not passed the political reforms that were supposed to precede disarmament. Hurdles to disarmament Guillaume Soro, leader of the New Forces, on Tuesday applauded the UN resolution but warned disarmament was still some way off. ""We welcome the immediate arms embargo which we have been calling for since the Marcoussis peace deal of 2003,"" Soro told IRIN by telephone. ""But the political process can only start up again once Gbagbo is no longer in power."" "
